Tag,Stunde,Time,RH,AIRTEMP20,AIRTEMP,GROUNDTEMP05,GROUNDTEMP,WINDSPEED,RAD,PRECIPITATION
1.6927272e+18,0.0,1.6927479e+18,89.075,17.425,19.625,24.025,22.150000000000002,0.8,0.0,0.0
1.6927488e+18,0.0,1.6927488e+18,89.8,17.3,19.4,23.9,22.1,0.8,0.0,0.0
1.6927488e+18,0.0,1.6927497e+18,90.0,17.075,19.299999999999997,23.799999999999997,22.05,0.775,0.0,0.0
1.6927488e+18,0.0,1.6927506e+18,90.19999999999999,16.85,19.2,23.7,22.0,0.75,0.0,0.0
1.6927488e+18,0.0,1.6927515e+18,90.39999999999999,16.625,19.1,23.6,21.95,0.725,0.0,0.0
1.6927488e+18,0.0,1.6927524e+18,90.6,16.4,19.0,23.5,21.9,0.7,0.0,0.0
1.6927488e+18,0.0,1.6927533e+18,90.89999999999999,16.299999999999997,18.825,23.4,21.849999999999998,0.7,0.0,0.0
1.6927488e+18,0.0,1.6927542e+18,91.19999999999999,16.2,18.65,23.3,21.799999999999997,0.7,0.0,0.0
1.6927488e+18,0.0,1.6927551e+18,91.5,16.1,18.475,23.200000000000003,21.75,0.7,0.0,0.0
1.6927488e+18,0.0,1.692756e+18,91.8,16.0,18.3,23.1,21.7,0.7,0.0,0.0
1.6927488e+18,0.0,1.6927569e+18,92.375,15.825,18.125,23.025000000000002,21.675,0.6499999999999999,0.0,0.0
1.6927488e+18,0.0,1.6927578e+18,92.94999999999999,15.65,17.950000000000003,22.950000000000003,21.65,0.6,0.0,0.0
1.6927488e+18,0.0,1.6927587e+18,93.52499999999999,15.475000000000001,17.775000000000002,22.875,21.625,0.55,0.0,0.0
1.6927488e+18,0.0,1.6927596e+18,94.1,15.3,17.6,22.8,21.6,0.5,0.0,0.0
1.6927488e+18,0.0,1.6927605e+18,94.57499999999999,15.175,17.450000000000003,22.725,21.55,0.525,0.0,0.0
1.6927488e+18,0.0,1.6927614e+18,95.05,15.05,17.3,22.65,21.5,0.55,0.0,0.0
1.6927488e+18,0.0,1.6927623e+18,95.525,14.925,17.15,22.575,21.45,0.575,0.0,0.0
1.6927488e+18,0.0,1.6927632e+18,96.0,14.8,17.0,22.5,21.4,0.6,0.0,0.0
1.6927488e+18,0.0,1.6927641e+18,96.45,14.700000000000001,16.9,22.425,21.375,0.575,0.0,0.0
1.6927488e+18,0.0,1.692765e+18,96.9,14.600000000000001,16.8,22.35,21.35,0.55,0.0,0.0
1.6927488e+18,0.0,1.6927659e+18,97.35,14.5,16.700000000000003,22.275,21.325,0.525,0.0,0.0
1.6927488e+18,0.0,1.6927668e+18,97.8,14.4,16.6,22.2,21.3,0.5,0.0,0.0
1.6927488e+18,0.0,1.6927677e+18,97.85,14.325,16.5,22.125,21.25,0.475,3.475,0.0
1.6927488e+18,0.0,1.6927686e+18,97.9,14.25,16.4,22.049999999999997,21.200000000000003,0.45,6.95,0.0
1.6927488e+18,0.0,1.6927695e+18,97.95,14.175,16.3,21.974999999999998,21.150000000000002,0.42500000000000004,10.425,0.0
1.6927488e+18,0.0,1.6927704e+18,98.0,14.1,16.2,21.9,21.1,0.4,13.9,0.0
1.6927488e+18,0.0,1.6927713e+18,96.875,14.75,16.6,21.924999999999997,21.075000000000003,0.35000000000000003,39.975,0.0
1.6927488e+18,0.0,1.6927722e+18,95.75,15.399999999999999,17.0,21.95,21.05,0.30000000000000004,66.05,0.0
1.6927488e+18,0.0,1.6927731e+18,94.625,16.05,17.4,21.975,21.025,0.25,92.125,0.0
1.6927488e+18,0.0,1.692774e+18,93.5,16.7,17.8,22.0,21.0,0.2,118.2,0.0
1.6927488e+18,0.0,1.6927749e+18,89.025,17.625,18.6,22.225,20.95,0.3,160.425,0.0
1.6927488e+18,0.0,1.6927758e+18,84.55,18.549999999999997,19.4,22.45,20.9,0.4,202.65000000000003,0.0
1.6927488e+18,0.0,1.6927767e+18,80.07499999999999,19.474999999999998,20.2,22.674999999999997,20.85,0.5,244.87500000000003,0.0
1.6927488e+18,0.0,1.6927776e+18,75.6,20.4,21.0,22.9,20.8,0.6,287.1,0.0
1.6927488e+18,0.0,1.6927785e+18,72.725,21.2,21.625,23.2,20.775,0.65,326.475,0.0
1.6927488e+18,0.0,1.6927794e+18,69.85,22.0,22.25,23.5,20.75,0.7,365.85,0.0
1.6927488e+18,0.0,1.6927803e+18,66.975,22.8,22.875,23.8,20.725,0.75,405.225,0.0
1.6927488e+18,0.0,1.6927812e+18,64.1,23.6,23.5,24.1,20.7,0.8,444.6,0.0
1.6927488e+18,0.0,1.6927821e+18,62.574999999999996,24.1,23.95,24.525000000000002,20.7,0.875,476.6,0.0
1.6927488e+18,0.0,1.692783e+18,61.05,24.6,24.4,24.950000000000003,20.7,0.9500000000000001,508.6,0.0
1.6927488e+18,0.0,1.6927839e+18,59.525,25.1,24.85,25.375,20.7,1.0250000000000001,540.6,0.0
1.6927488e+18,0.0,1.6927848e+18,58.0,25.6,25.3,25.8,20.7,1.1,572.6,0.0
1.6927488e+18,0.0,1.6927857e+18,56.9,25.950000000000003,25.575,26.2,20.75,1.2000000000000002,600.55,0.0
1.6927488e+18,0.0,1.6927866e+18,55.8,26.3,25.85,26.6,20.799999999999997,1.3,628.5,0.0
1.6927488e+18,0.0,1.6927875e+18,54.7,26.65,26.125,27.0,20.849999999999998,1.4,656.45,0.0
1.6927488e+18,0.0,1.6927884e+18,53.6,27.0,26.4,27.4,20.9,1.5,684.4,0.0
1.6927488e+18,0.0,1.6927893e+18,52.9,27.225,26.599999999999998,27.75,20.95,1.55,698.65,0.0
1.6927488e+18,0.0,1.6927902e+18,52.2,27.45,26.799999999999997,28.1,21.0,1.6,712.9,0.0
1.6927488e+18,0.0,1.6927911e+18,51.5,27.674999999999997,27.0,28.45,21.05,1.65,727.15,0.0
1.6927488e+18,0.0,1.692792e+18,50.8,27.9,27.2,28.8,21.1,1.7,741.4,0.0
1.6927488e+18,0.0,1.6927929e+18,50.5,28.049999999999997,27.35,28.975,21.150000000000002,1.725,735.6,0.0
1.6927488e+18,0.0,1.6927938e+18,50.2,28.2,27.5,29.15,21.200000000000003,1.75,729.8,0.0
1.6927488e+18,0.0,1.6927947e+18,49.9,28.35,27.65,29.325,21.25,1.775,724.0,0.0
1.6927488e+18,0.0,1.6927956e+18,49.6,28.5,27.8,29.5,21.3,1.8,718.2,0.0
1.6927488e+18,0.0,1.6927965e+18,48.975,28.65,27.975,29.75,21.375,1.875,714.625,0.0
