Time,AIRTEMP,GROUNDTEMP,AIRP,PRECIPITATION,RH,RH_GROUND,WINDSPEED,WINDSPEED_MIN,WINDSPEED_MAX,RAD,DateTime
1692830700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 22:45:00
1692831600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 23:00:00
1692832500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 23:15:00
1692833400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 23:30:00
1692834300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-23 23:45:00
1692835200000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 00:00:00
1692836100000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 00:15:00
1692837000000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 00:30:00
1692837900000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 00:45:00
1692838800000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 01:00:00
1692839700000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 01:15:00
1692840600000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 01:30:00
1692841500000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 01:45:00
1692842400000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 02:00:00
1692843300000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 02:15:00
1692844200000000000,24.9,0.0,973.36,0.0,100.0,0.0,2.27,1.44,3.72,0.0,2023-08-24 02:30:00
