ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
2729,ID,ID-4,Site 4,Meadow,2023-09-02 18:26:13.046,2023-09-02 18:27:00.008,00:00:46.962000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:26:13.046
359,ID,ID-3,Site 3,Meadow,2023-09-02 18:26:13.046,2023-09-02 18:27:00.008,00:00:46.962000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:26:13.046
2730,ID,ID-4,Site 4,Meadow,2023-09-02 18:27:07.045,2023-09-02 18:27:48.516,00:00:41.471000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:27:07.045
360,ID,ID-3,Site 3,Meadow,2023-09-02 18:27:07.045,2023-09-02 18:27:48.516,00:00:41.471000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:27:07.045
361,ID,ID-3,Site 3,Meadow,2023-09-02 18:27:51.374,2023-09-02 18:29:05.447,00:01:14.073000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:27:51.374
2731,ID,ID-4,Site 4,Meadow,2023-09-02 18:27:51.374,2023-09-02 18:29:05.447,00:01:14.073000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:27:51.374
362,ID,ID-3,Site 3,Meadow,2023-09-02 18:29:30.949,2023-09-02 18:29:46.601,00:00:15.652000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:29:30.949
2732,ID,ID-4,Site 4,Meadow,2023-09-02 18:29:30.949,2023-09-02 18:29:46.601,00:00:15.652000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:29:30.949
363,ID,ID-3,Site 3,Meadow,2023-09-02 18:29:49.485,2023-09-02 18:30:48.075,00:00:58.590000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:29:49.485
2733,ID,ID-4,Site 4,Meadow,2023-09-02 18:29:49.485,2023-09-02 18:30:48.075,00:00:58.590000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:29:49.485
364,ID,ID-3,Site 3,Meadow,2023-09-02 18:30:50.917,2023-09-02 18:31:20.901,00:00:29.984000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:30:50.917
2734,ID,ID-4,Site 4,Meadow,2023-09-02 18:30:50.917,2023-09-02 18:31:20.901,00:00:29.984000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:30:50.917
2735,ID,ID-4,Site 4,Meadow,2023-09-02 18:31:33.693,2023-09-02 18:31:50.846,00:00:17.153000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:31:33.693
365,ID,ID-3,Site 3,Meadow,2023-09-02 18:31:33.693,2023-09-02 18:31:50.846,00:00:17.153000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:31:33.693
2736,ID,ID-4,Site 4,Meadow,2023-09-02 18:32:13.480,2023-09-02 18:32:36.289,00:00:22.809000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:32:13.480
366,ID,ID-3,Site 3,Meadow,2023-09-02 18:32:13.480,2023-09-02 18:32:36.289,00:00:22.809000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:32:13.480
367,ID,ID-3,Site 3,Meadow,2023-09-02 18:33:20.016,2023-09-02 18:33:27.175,00:00:07.159000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:33:20.016
2737,ID,ID-4,Site 4,Meadow,2023-09-02 18:33:20.016,2023-09-02 18:33:27.175,00:00:07.159000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-09-02 18:33:20.016
368,ID,ID-3,Site 3,Meadow,2023-09-02 18:34:13.766,2023-09-02 18:36:20.641,00:02:06.875000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:34:13.766
2738,ID,ID-4,Site 4,Meadow,2023-09-02 18:34:13.766,2023-09-02 18:36:20.641,00:02:06.875000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:34:13.766
2739,ID,ID-4,Site 4,Meadow,2023-09-02 18:36:30.436,2023-09-02 18:36:54.513,00:00:24.077000,hoverfly,Insecta,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,Episyrphus,balteatus,2023-09-02 18:36:30.436
