ID,Device_type,Device,Site,Ambient,Checkin,Checkout,Duration,Pre-classification,Class,Order,Suborder,Superfamily,Family,Subfamily,Genus,Epithet,DateTime
789,ID,ID-1,Site 1,Maize Field,2023-08-24 14:02:23.501,2023-08-24 14:02:50.704,00:00:27.203000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-24 14:02:23.501
1269,ID,ID-2,Site 2,Maize Field,2023-08-24 14:24:50.145,2023-08-24 14:24:55.854,00:00:05.709000,wasp,Insecta,Hymenoptera,Apocrita,Vespoidea,Vespidae,#N/C,#N/C,#N/C,2023-08-24 14:24:50.145
3419,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 15:51:57.000,2023-08-24 15:52:38.000,00:00:41,ladybug,Insecta,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Harmonia,#N/C,2023-08-24 15:51:57.000
1270,ID,ID-2,Site 2,Maize Field,2023-08-24 17:38:25.181,2023-08-24 17:38:35.185,00:00:10.004000,flesh_fly,Insecta,Diptera,Brachycera,Oestroidea,Sarcophagidae,#N/C,#N/C,#N/C,2023-08-24 17:38:25.181
790,ID,ID-1,Site 1,Maize Field,2023-08-24 18:03:36.615,2023-08-24 18:04:39.222,00:01:02.607000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:03:36.615
1271,ID,ID-2,Site 2,Maize Field,2023-08-24 18:10:27.994,2023-08-24 18:10:36.455,00:00:08.461000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:10:27.994
791,ID,ID-1,Site 1,Maize Field,2023-08-24 18:14:32.414,2023-08-24 18:14:45.253,00:00:12.839000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:14:32.414
3420,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 18:15:23.000,2023-08-24 18:16:01.000,00:00:38,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:15:23.000
3421,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 18:17:27.000,2023-08-24 18:17:50.000,00:00:23,fly,Insecta,Diptera,Brachycera,Muscoidea,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:17:27.000
1272,ID,ID-2,Site 2,Maize Field,2023-08-24 18:19:32.756,2023-08-24 18:20:56.836,00:01:24.080000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:19:32.756
3422,FAIR-D,FAIR-D2,Site 2,Maize Field,2023-08-24 18:26:59.000,2023-08-24 18:28:30.000,00:01:31,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:26:59.000
1273,ID,ID-2,Site 2,Maize Field,2023-08-24 18:27:56.355,2023-08-24 18:28:03.558,00:00:07.203000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:27:56.355
1274,ID,ID-2,Site 2,Maize Field,2023-08-24 18:30:38.109,2023-08-24 18:32:41.831,00:02:03.722000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:30:38.109
792,ID,ID-1,Site 1,Maize Field,2023-08-24 18:31:13.134,2023-08-24 18:31:43.233,00:00:30.099000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:31:13.134
1275,ID,ID-2,Site 2,Maize Field,2023-08-24 18:31:26.743,2023-08-24 18:33:48.133,00:02:21.390000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:31:26.743
1276,ID,ID-2,Site 2,Maize Field,2023-08-24 18:33:04.675,2023-08-24 18:33:38.136,00:00:33.461000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:33:04.675
793,ID,ID-1,Site 1,Maize Field,2023-08-24 18:34:17.674,2023-08-24 18:34:20.526,00:00:02.852000,fly,Insecta,Diptera,Brachycera,#N/C,#N/C,#N/C,#N/C,#N/C,2023-08-24 18:34:17.674
